motor,harga_otr,dp,pct_dp,tenor,cicilan
REVO X,21175000.0,6400000.0,0.3022,18,1253000.0
REVO X,21175000.0,6400000.0,0.3022,24,1004000.0
REVO X,21175000.0,6400000.0,0.3022,30,861000.0
REVO X,21175000.0,6400000.0,0.3022,36,766000.0
REVO X,21175000.0,6500000.0,0.307,12,1727000.0
REVO X,21175000.0,6500000.0,0.307,18,1246000.0
REVO X,21175000.0,6500000.0,0.307,24,998000.0
REVO X,21175000.0,6500000.0,0.307,30,856000.0
REVO X,21175000.0,6500000.0,0.307,36,761000.0
REVO X,21175000.0,6600000.0,0.3117,12,1717000.0
REVO X,21175000.0,6600000.0,0.3117,18,1239000.0
REVO X,21175000.0,6600000.0,0.3117,24,992000.0
REVO X,21175000.0,6600000.0,0.3117,30,851000.0
REVO X,21175000.0,6600000.0,0.3117,36,756000.0
REVO X,21175000.0,6700000.0,0.3164,12,1707000.0
REVO X,21175000.0,6700000.0,0.3164,18,1232000.0
REVO X,21175000.0,6700000.0,0.3164,24,986000.0
REVO X,21175000.0,6700000.0,0.3164,30,846000.0
REVO X,21175000.0,6700000.0,0.3164,36,751000.0
REVO X,21175000.0,6800000.0,0.3211,12,1697000.0
REVO X,21175000.0,6800000.0,0.3211,18,1225000.0
REVO X,21175000.0,6800000.0,0.3211,24,980000.0
REVO X,21175000.0,6800000.0,0.3211,30,841000.0
REVO X,21175000.0,6800000.0,0.3211,36,746000.0
REVO X,21175000.0,6900000.0,0.3259,12,1687000.0
REVO X,21175000.0,6900000.0,0.3259,18,1218000.0
REVO X,21175000.0,6900000.0,0.3259,24,974000.0
REVO X,21175000.0,6900000.0,0.3259,30,836000.0
REVO X,21175000.0,6900000.0,0.3259,36,741000.0
REVO X,21175000.0,7000000.0,0.3306,12,1677000.0
REVO X,21175000.0,7000000.0,0.3306,18,1211000.0
REVO X,21175000.0,7000000.0,0.3306,24,968000.0
REVO X,21175000.0,7000000.0,0.3306,30,831000.0
REVO X,21175000.0,7000000.0,0.3306,36,736000.0
REVO X,21175000.0,7100000.0,0.3353,12,1667000.0
REVO X,21175000.0,7100000.0,0.3353,18,1204000.0
REVO X,21175000.0,7100000.0,0.3353,24,962000.0
REVO X,21175000.0,7100000.0,0.3353,30,826000.0
REVO X,21175000.0,7100000.0,0.3353,36,731000.0
REVO X,21175000.0,7200000.0,0.34,12,1657000.0
REVO X,21175000.0,7200000.0,0.34,18,1197000.0
REVO X,21175000.0,7200000.0,0.34,24,956000.0
REVO X,21175000.0,7200000.0,0.34,30,821000.0
REVO X,21175000.0,7200000.0,0.34,36,726000.0
REVO X,21175000.0,7300000.0,0.3447,12,1647000.0
REVO X,21175000.0,7300000.0,0.3447,18,1190000.0
REVO X,21175000.0,7300000.0,0.3447,24,950000.0
REVO X,21175000.0,7300000.0,0.3447,30,816000.0
REVO X,21175000.0,7300000.0,0.3447,36,721000.0
REVO X,21175000.0,7400000.0,0.3495,12,1637000.0
REVO X,21175000.0,7400000.0,0.3495,18,1183000.0
REVO X,21175000.0,7400000.0,0.3495,24,944000.0
REVO X,21175000.0,7400000.0,0.3495,30,811000.0
REVO X,21175000.0,7400000.0,0.3495,36,716000.0
REVO X,21175000.0,7500000.0,0.3542,12,1627000.0
REVO X,21175000.0,7500000.0,0.3542,18,1176000.0
REVO X,21175000.0,7500000.0,0.3542,24,938000.0
REVO X,21175000.0,7500000.0,0.3542,30,806000.0
REVO X,21175000.0,7500000.0,0.3542,36,711000.0
REVO X,21175000.0,7600000.0,0.3589,12,1617000.0
REVO X,21175000.0,7600000.0,0.3589,18,1169000.0
REVO X,21175000.0,7600000.0,0.3589,24,932000.0
REVO X,21175000.0,7600000.0,0.3589,30,801000.0
REVO X,21175000.0,7600000.0,0.3589,36,706000.0
REVO X,21175000.0,7700000.0,0.3636,12,1607000.0
REVO X,21175000.0,7700000.0,0.3636,18,1162000.0
REVO X,21175000.0,7700000.0,0.3636,24,926000.0
REVO X,21175000.0,7700000.0,0.3636,30,796000.0
REVO X,21175000.0,7700000.0,0.3636,36,701000.0
REVO X,21175000.0,7800000.0,0.3684,12,1597000.0
REVO X,21175000.0,7800000.0,0.3684,18,1155000.0
REVO X,21175000.0,7800000.0,0.3684,24,920000.0
REVO X,21175000.0,7800000.0,0.3684,30,791000.0
REVO X,21175000.0,7800000.0,0.3684,36,696000.0
REVO X,21175000.0,7900000.0,0.3731,12,1587000.0
REVO X,21175000.0,7900000.0,0.3731,18,1148000.0
REVO X,21175000.0,7900000.0,0.3731,24,914000.0
REVO X,21175000.0,7900000.0,0.3731,30,786000.0
REVO X,21175000.0,7900000.0,0.3731,36,691000.0
REVO FIT FI,19475000.0,2000000.0,0.1027,12,1985000.0
REVO FIT FI,19475000.0,2000000.0,0.1027,18,1426000.0
REVO FIT FI,19475000.0,2000000.0,0.1027,24,1160000.0
REVO FIT FI,19475000.0,2000000.0,0.1027,30,990000.0
REVO FIT FI,19475000.0,2000000.0,0.1027,36,863000.0
REVO FIT FI,19475000.0,2100000.0,0.1078,12,1975000.0
REVO FIT FI,19475000.0,2100000.0,0.1078,18,1419000.0
REVO FIT FI,19475000.0,2100000.0,0.1078,24,1154000.0
REVO FIT FI,19475000.0,2100000.0,0.1078,30,985000.0
REVO FIT FI,19475000.0,2100000.0,0.1078,36,859000.0
REVO FIT FI,19475000.0,2200000.0,0.113,12,1965000.0
REVO FIT FI,19475000.0,2200000.0,0.113,18,1412000.0
REVO FIT FI,19475000.0,2200000.0,0.113,24,1148000.0
REVO FIT FI,19475000.0,2200000.0,0.113,30,980000.0
REVO FIT FI,19475000.0,2200000.0,0.113,36,855000.0
REVO FIT FI,19475000.0,2300000.0,0.1181,12,1955000.0
REVO FIT FI,19475000.0,2300000.0,0.1181,18,1405000.0
REVO FIT FI,19475000.0,2300000.0,0.1181,24,1142000.0
REVO FIT FI,19475000.0,2300000.0,0.1181,30,975000.0
REVO FIT FI,19475000.0,2300000.0,0.1181,36,851000.0
REVO FIT FI,19475000.0,2400000.0,0.1232,12,1945000.0
REVO FIT FI,19475000.0,2400000.0,0.1232,18,1398000.0
REVO FIT FI,19475000.0,2400000.0,0.1232,24,1136000.0
REVO FIT FI,19475000.0,2400000.0,0.1232,30,970000.0
REVO FIT FI,19475000.0,2400000.0,0.1232,36,847000.0
REVO FIT FI,19475000.0,2500000.0,0.1284,12,1935000.0
REVO FIT FI,19475000.0,2500000.0,0.1284,18,1391000.0
REVO FIT FI,19475000.0,2500000.0,0.1284,24,1130000.0
REVO FIT FI,19475000.0,2500000.0,0.1284,30,965000.0
REVO FIT FI,19475000.0,2500000.0,0.1284,36,843000.0
REVO FIT FI,19475000.0,2600000.0,0.1335,12,1925000.0
REVO FIT FI,19475000.0,2600000.0,0.1335,18,1384000.0
REVO FIT FI,19475000.0,2600000.0,0.1335,24,1124000.0
REVO FIT FI,19475000.0,2600000.0,0.1335,30,960000.0
REVO FIT FI,19475000.0,2600000.0,0.1335,36,839000.0
REVO FIT FI,19475000.0,2700000.0,0.1386,12,1915000.0
REVO FIT FI,19475000.0,2700000.0,0.1386,18,1377000.0
REVO FIT FI,19475000.0,2700000.0,0.1386,24,1118000.0
REVO FIT FI,19475000.0,2700000.0,0.1386,30,955000.0
REVO FIT FI,19475000.0,2700000.0,0.1386,36,835000.0
REVO FIT FI,19475000.0,2800000.0,0.1438,12,1905000.0
REVO FIT FI,19475000.0,2800000.0,0.1438,18,1370000.0
REVO FIT FI,19475000.0,2800000.0,0.1438,24,1112000.0
REVO FIT FI,19475000.0,2800000.0,0.1438,30,950000.0
REVO FIT FI,19475000.0,2800000.0,0.1438,36,831000.0
REVO FIT FI,19475000.0,2900000.0,0.1489,12,1895000.0
REVO FIT FI,19475000.0,2900000.0,0.1489,18,1363000.0
REVO FIT FI,19475000.0,2900000.0,0.1489,24,1106000.0
REVO FIT FI,19475000.0,2900000.0,0.1489,30,945000.0
REVO FIT FI,19475000.0,2900000.0,0.1489,36,827000.0
REVO FIT FI,19475000.0,3000000.0,0.154,12,1885000.0
REVO FIT FI,19475000.0,3000000.0,0.154,18,1356000.0
REVO FIT FI,19475000.0,3000000.0,0.154,24,1100000.0
REVO FIT FI,19475000.0,3000000.0,0.154,30,940000.0
REVO FIT FI,19475000.0,3000000.0,0.154,36,823000.0
REVO FIT FI,19475000.0,3100000.0,0.1592,12,1875000.0
REVO FIT FI,19475000.0,3100000.0,0.1592,18,1349000.0
REVO FIT FI,19475000.0,3100000.0,0.1592,24,1094000.0
REVO FIT FI,19475000.0,3100000.0,0.1592,30,935000.0
REVO FIT FI,19475000.0,3100000.0,0.1592,36,819000.0
REVO FIT FI,19475000.0,3200000.0,0.1643,12,1865000.0
REVO FIT FI,19475000.0,3200000.0,0.1643,18,1342000.0
REVO FIT FI,19475000.0,3200000.0,0.1643,24,1088000.0
